name,geometry,latitude,longitude
Vignesh Lab and Diagnostics,POINT (77.6041132 13.0267226),13.0267226,77.6041132
Apollo Cradle,POINT (77.6206345 12.9368104),12.9368104,77.6206345
Shiva Kumaraswamy Building,POINT (77.5493718 12.9717049),12.9717049,77.5493718
Myo Medex - Ace Speciality Clinic,POINT (77.5999324 12.8615976),12.8615976,77.5999324
Stanford Speciality Hospital,POINT (77.6764094 12.911533),12.911533,77.6764094
Dr Mohan Nursing Home,POINT (77.6813917 12.9124371),12.9124371,77.6813917
Sparsh Clinic,POINT (77.6755805 12.9072384),12.9072384,77.6755805
Raksha Orthopaedic And Multi Speciality Centre,POINT (77.6741043 12.9041502),12.9041502,77.6741043
Narayana Nethralaya,POINT (77.5950098 12.8750879),12.8750879,77.5950098
Naadi Ayurveda Center,POINT (77.6820003 12.9121008),12.9121008,77.6820003
Kottakkal Arya Vaidya Sala,POINT (77.6618321 12.9217604),12.9217604,77.6618321
The Family Doctor & The Family Pharma,POINT (77.6818637 12.9122002),12.9122002,77.6818637
Life Care Hospital,POINT (77.6130111 12.9194712),12.9194712,77.6130111
Bhagavathi Hospitals Private Limited,POINT (77.6311505 12.9161259),12.9161259,77.6311505
Gunasheela Hospitals,POINT (77.6278708 12.9250105),12.9250105,77.6278708
NRS Medical & Dental Specialists Centre,POINT (77.5624888 12.9151071),12.9151071,77.5624888
Anurag Medical Centre,POINT (77.6049776 12.9060641),12.9060641,77.6049776
Sarvodaya Hospital,POINT (77.5619057 12.9390944),12.9390944,77.5619057
Indianova Healthcare Pvt Ltd,POINT (77.63022 12.9703581),12.9703581,77.63022
Sky Diagnostic Centre kumbena agrahara,POINT (77.7548105 12.9977711),12.9977711,77.7548105
Dr Rachna - Homeopathy,POINT (77.6691258 12.9179831),12.9179831,77.6691258
Regal Hospital,POINT (77.6347174 13.0830463),13.0830463,77.6347174
Thyrocare,POINT (77.7033173 13.0158543),13.0158543,77.7033173
Welnext,POINT (77.6545058 12.9240063),12.9240063,77.6545058
Employees State Insurance Dispensary,POINT (77.5349228 12.966771),12.966771,77.5349228
Dr Solankis Eye Hospital,POINT (77.5738144 12.9951627),12.9951627,77.5738144
Sri Sanjeevini Cold Laser Therapy,POINT (77.5713352 13.0053923),13.0053923,77.5713352
Dr. Bhargavi Reddy Women & Children Hospital,POINT (77.6470594 12.975403),12.975403,77.6470594
Axon Speciality Hospital,POINT (77.6460904 12.973892),12.973892,77.6460904
Bright Children's Clinic,POINT (77.689783 12.9891818),12.9891818,77.689783
Sanjeevini Children & Women Clinic,POINT (77.6023154 13.0316481),13.0316481,77.6023154
Procare Hospital,POINT (77.6512682 13.0203944),13.0203944,77.6512682
Parimala Health Care,POINT (77.6008061 12.9003193),12.9003193,77.6008061
"Sriram Hospital, Bangalore",POINT (77.6939806 13.0087504),13.0087504,77.6939806
K R Puram Super Speciality Hospital,POINT (77.6935975 13.0110115),13.0110115,77.6935975
Maithri Nursing Home,POINT (77.7036425 13.0048396),13.0048396,77.7036425
,POINT (77.6468603 12.9702741),12.9702741,77.6468603
Medic Star Hospital,POINT (77.6093097 12.9876871),12.9876871,77.6093097
Hsis Gosha Hospital,POINT (77.6058578 12.9856985),12.9856985,77.6058578
Santosh Hospital,POINT (77.6082575 12.9959413),12.9959413,77.6082575
Hospital,POINT (77.6117329 12.9914123),12.9914123,77.6117329
Keva Ayurveda Health Care Pvt Ltd,POINT (77.6201668 12.9127062),12.9127062,77.6201668
Ayurvaid Hospital,POINT (77.6428508 12.9552696),12.9552696,77.6428508
H B S Hospital,POINT (77.6037864 12.9891941),12.9891941,77.6037864
St. Martha's Heart Centre,POINT (77.5834769 12.9705436),12.9705436,77.5834769
Sumathi Nursing and Maternity Home,POINT (77.5582602 13.0325717),13.0325717,77.5582602
Desai Nursing Home,POINT (77.5793154 12.9863736),12.9863736,77.5793154
Fortis Hospital,POINT (77.5548179 12.9881648),12.9881648,77.5548179
Healing Earth Multispeciality Ayurveda Hospital,POINT (77.6361865 12.9165359),12.9165359,77.6361865
Global Ayurveda Multispeciality Hospital,POINT (77.6362187 12.9165795),12.9165795,77.6362187
Brahmi Ayurvedic Center,POINT (77.6073285 12.8830054),12.8830054,77.6073285
Fj Merrit Hydrotherapy And Wellness,POINT (77.6299785 12.9344224),12.9344224,77.6299785
Vedam Ayurveda Multispeciality Hospital,POINT (77.6039486 12.9175511),12.9175511,77.6039486
Ayur jagruti,POINT (77.6378289 12.9667253),12.9667253,77.6378289
Herbocare Hospital Pvt,POINT (77.6440607 13.0204424),13.0204424,77.6440607
""" NRS Medical & Dental Specialists Centre""",POINT (77.5573329 12.9378359),12.9378359,77.5573329
Tele Rad RX DX Health care Pvt Ltd,POINT (77.7575636 12.9992982),12.9992982,77.7575636
Chiranjeevi Hospital & Maternity Home,POINT (77.5518394 12.9386994),12.9386994,77.5518394
"Vinayaka Hospital, Hanumantha Nagar",POINT (77.5494778 12.9373748),12.9373748,77.5494778
Diavista Diabetes & Multispeciality Hospital,POINT (77.5477956 12.9354293),12.9354293,77.5477956
Meenakshi Hospital,POINT (77.553698 12.9420715),12.9420715,77.553698
Medi-Tech Multi Speciality Hospital,POINT (77.5603657 12.9408667),12.9408667,77.5603657
Kusuma Hospital,POINT (77.5506918 12.9420124),12.9420124,77.5506918
Ring Road Hospital,POINT (77.5516293 12.9274553),12.9274553,77.5516293
Pulse Multispecialty Hospital,POINT (77.5438808 12.9389007),12.9389007,77.5438808
Surya Galaxy Hospital,POINT (77.5450887 12.9316792),12.9316792,77.5450887
Wellness Ever,POINT (77.7461682 12.9593576),12.9593576,77.7461682
Hair Loss Treatment in Bangalore - Hairline International,POINT (77.7419283 12.9566858),12.9566858,77.7419283
Surya Diagnostics and Health Services,POINT (77.6170883 12.9242825),12.9242825,77.6170883
Nimi dental bangalore,POINT (77.6918556 13.0090882),13.0090882,77.6918556
New Life Hospital bangalore,POINT (77.7591252 12.9967611),12.9967611,77.7591252
Indosyke Nal,POINT (77.6645367 12.9448255),12.9448255,77.6645367
Ayushman Ayurvedic therapy centre,POINT (77.6023871 12.9946163),12.9946163,77.6023871
Pristine Hospital,POINT (77.5403887 12.9984229),12.9984229,77.5403887
Sri Vinayaka Hospital,POINT (77.5276466 12.9575029),12.9575029,77.5276466
Shathayu Ayurveda Wellness Centre,POINT (77.5276882 12.9573897),12.9573897,77.5276882
Hospital Sharavathi,POINT (77.5275515 12.9594984),12.9594984,77.5275515
Arogya Kendra,POINT (77.5443283 12.9735891),12.9735891,77.5443283
The Family Doctor Malleswaram,POINT (77.5526666 13.0029689),13.0029689,77.5526666
Venkat Charmalaya,POINT (77.5333324 12.9644231),12.9644231,77.5333324
V Care Medical Systems P Ltd,POINT (77.5403581 12.9787049),12.9787049,77.5403581
Manasa Hospital,POINT (77.5246297 12.968821),12.968821,77.5246297
Saikrupa Hospital For Women's and Surgical Centre,POINT (77.5351921 12.9691657),12.9691657,77.5351921
Cutis Academy of Cutaneous Sciences,POINT (77.5449094 12.9768117),12.9768117,77.5449094
Shreya Hearing Clinic,POINT (77.533401 12.9621516),12.9621516,77.533401
Acura Speciality Hospital,POINT (77.6205504 12.9353208),12.9353208,77.6205504
Prasad Nethralaya,POINT (77.5300796 12.9603312),12.9603312,77.5300796
Vijayanagar Global Hospital,POINT (77.5372864 12.9717905),12.9717905,77.5372864
Blossom Infertility Center,POINT (77.5389842 12.9649703),12.9649703,77.5389842
Padmashree Nursing Home and Maternity Home,POINT (77.5350434 12.958321),12.958321,77.5350434
,POINT (77.5302683 12.9639998),12.9639998,77.5302683
Dhanush Hospital,POINT (77.5151893 12.9706209),12.9706209,77.5151893
"S K Hospital, Bengaluru Urban",POINT (77.5184436 12.957572),12.957572,77.5184436
"Green City Hospital, Bengaluru Urban",POINT (77.580682 12.9062193),12.9062193,77.580682
The Homoeo World,POINT (77.5715879 12.9947201),12.9947201,77.5715879
Modern Family Doctor Pvt Ltd,POINT (77.5327211 12.9698405),12.9698405,77.5327211
Oxford Hospital,POINT (77.5756907 12.9312101),12.9312101,77.5756907
R R Hospital & Trauma Centre,POINT (77.5904192 12.9059465),12.9059465,77.5904192
M N Speciality Clinic,POINT (77.5859569 12.9039905),12.9039905,77.5859569
Prashanth Hospital,POINT (77.6265085 12.9067129),12.9067129,77.6265085
Parimala Health Care,POINT (77.5986641 12.9009278),12.9009278,77.5986641
Sri Ram Hospital,POINT (77.6924713 13.0096231),13.0096231,77.6924713
Vijay Diagnostic Centre,POINT (77.5877756 12.9458746),12.9458746,77.5877756
Dr Lal PathLabs,POINT (77.5680927 12.924274),12.924274,77.5680927
Welnext,POINT (77.6532853 12.9242869),12.9242869,77.6532853
Sri Sai Ram Hospital,POINT (77.5682821 12.8943049),12.8943049,77.5682821
Tamara Hospital & IVF Centre,POINT (77.5530755 13.0044499),13.0044499,77.5530755
ChanRe Rheumatology and Immunology Center and Research,POINT (77.5354215 12.995573),12.995573,77.5354215
Anupama Hospital,POINT (77.4788534 12.9838763),12.9838763,77.4788534
Deepa Hospital,POINT (77.6998816 13.0120509),13.0120509,77.6998816
"Manasa Hospital, Vijayanagar",POINT (77.5451059 12.9709463),12.9709463,77.5451059
Agarahara Government Hospital,POINT (77.6273067 13.0957329),13.0957329,77.6273067
Nagarathna Hospital,POINT (77.5426964 12.9056092),12.9056092,77.5426964
Ramana Rao's clinic,POINT (77.5761449 13.0130826),13.0130826,77.5761449
Government Maternity Home,POINT (77.6200927 12.9983402),12.9983402,77.6200927
Lucid Medical Diagnostics,POINT (77.5794541 12.9306876),12.9306876,77.5794541
Cauvery Orthopaedic Centre,POINT (77.5504219 12.9984887),12.9984887,77.5504219
"Apollo Bengaluru Cradle Limited, Jayanagar",POINT (77.5851878 12.9168014),12.9168014,77.5851878
Phase 2 Park,POINT (77.6768454 12.9874371),12.9874371,77.6768454
Phase 2 park 2,POINT (77.6769799 12.9876923),12.9876923,77.6769799
"Nethradhama Superspeciality Eye Hospital, Rajajinagar",POINT (77.5509423 12.997613),12.997613,77.5509423
NIMHANS - Ashwini Block,POINT (77.59445 12.9397588),12.9397588,77.59445
Sathya Sai Lake Side Ortho Hospital,POINT (77.7128053 13.0215807),13.0215807,77.7128053
Comfort Multispeciality Hospital,POINT (77.6800412 12.9817167),12.9817167,77.6800412
,POINT (77.6236964 12.9446893),12.9446893,77.6236964
National Institute of Mental Health and Neuro Sciences,POINT (77.5931597 12.9400669),12.9400669,77.5931597
NBRC(National Brain Research Center),POINT (77.5988406 12.9404277),12.9404277,77.5988406
Dr. Roshni's Tooth Planet Dental Clinic,POINT (77.6851595 12.9876335),12.9876335,77.6851595
Cambridge Hospital,POINT (77.6273835 12.9716236),12.9716236,77.6273835
Respigen healthcare,POINT (77.5918347 12.9555357),12.9555357,77.5918347
Doctor's diagnostics Centre,POINT (77.6357881 13.014746),13.014746,77.6357881
Hosmat Hospital,POINT (77.5837482 13.0080001),13.0080001,77.5837482
ISRO Layout Children's Park,POINT (77.557338 12.8973448),12.8973448,77.557338
Cloudnine Hospital Pvt. Ltd.,POINT (77.6569127 12.9597752),12.9597752,77.6569127
Subramanium Medicine Store,POINT (77.656317 13.0090912),13.0090912,77.656317
Chaya Super Speciality Hospital,POINT (77.6583242 13.0104342),13.0104342,77.6583242
Altius Hospital,POINT (77.5569222 12.9849537),12.9849537,77.5569222
Bangalore Diabetes Hospital,POINT (77.5968531 12.9918415),12.9918415,77.5968531
